City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Digkilaan,PH,82.65,overcast clouds,8.2511,124.3172,VILLAGRACIA WHITEWATER RAFT RESORT
7,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
10,Itoman,JP,81.37,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
18,Kapaa,US,83.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Mareeba,AU,78.48,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
27,Tura,IN,76.57,light rain,25.5198,90.2201,Hotel RIKMAN Continental
28,Pemberton,CA,83.05,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
31,Hilo,US,87.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
41,Mujiayingzi,CN,76.33,overcast clouds,42.1167,118.7833,Jinjiang Hotel
42,Salalah,OM,76.41,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
53,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
66,Bandarbeyla,SO,75.92,broken clouds,9.4942,50.8122,JABIR HOTEL
67,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
69,Pachino,IT,77.67,scattered clouds,36.7186,15.0907,Il Veliero
70,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
77,Helong,CN,75.43,clear sky,42.5397,128.9972,Helong Hotel
78,Butaritari,KI,81.99,clear sky,3.0707,172.7902,Isles Sunset Lodge
79,Katsuura,JP,80.78,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
84,Acapulco,MX,84.02,thunderstorm,16.8634,-99.8901,HS Hotsson Smart Acapulco
85,Saint Anthony,US,79.54,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
87,Jishou,CN,76.8,overcast clouds,28.3167,109.7167,7 Days Inn
88,Taunsa,PK,86.72,clear sky,30.7048,70.6505,Nan shop
90,Tautira,PF,77.58,few clouds,-17.7333,-149.15,Pension Oaoa
104,Dickinson,US,85.98,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
110,Atuona,PF,77.31,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
113,San Patricio,US,85.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
115,Alanya,TR,77.18,clear sky,36.5438,31.9998,Panorama Hotel
118,Williams Lake,CA,89.17,broken clouds,52.1415,-122.1445,Stampeder Motel
120,Ixtapa,MX,79.0,overcast clouds,20.7,-105.2,hotel la terminal
122,Shepsi,RU,76.23,overcast clouds,44.0361,39.1489,Otel' Chayka
123,Surin,TH,82.78,overcast clouds,14.8818,103.4936,One Fu Hotel
125,Hobyo,SO,75.24,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
