City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,2022-09-03 01:56:55,-21.3585,55.7679,63.99,83,40,9.42,light rain
1,Mtimbira,TZ,2022-09-03 01:56:55,-8.7833,36.35,62.92,61,4,1.88,clear sky
2,Hobart,AU,2022-09-03 01:56:56,-42.8794,147.3294,57.06,59,75,4.61,broken clouds
3,Digkilaan,PH,2022-09-03 01:56:56,8.2511,124.3172,82.65,65,100,3.85,overcast clouds
4,Jamestown,US,2022-09-03 01:56:56,42.097,-79.2353,72.72,59,100,4.0,overcast clouds
5,Nikolskoye,RU,2022-09-03 01:56:57,59.7035,30.7861,45.88,85,90,5.82,overcast clouds
6,Mulanje,MW,2022-09-03 01:56:57,-16.0316,35.5,57.9,84,99,3.11,overcast clouds
7,Vaini,TO,2022-09-03 01:56:57,-21.2,-175.2,75.36,78,20,12.66,few clouds
8,New Norfolk,AU,2022-09-03 01:56:58,-42.7826,147.0587,56.71,60,28,1.01,scattered clouds
9,Ancud,CL,2022-09-03 01:56:58,-41.8697,-73.8203,46.22,87,1,2.48,clear sky
10,Itoman,JP,2022-09-03 01:56:58,26.1247,127.6694,81.37,92,75,27.63,light intensity shower rain
11,Hermanus,ZA,2022-09-03 01:56:59,-34.4187,19.2345,53.91,74,31,11.48,scattered clouds
12,Cape Town,ZA,2022-09-03 01:53:34,-33.9258,18.4232,56.12,80,75,16.11,broken clouds
13,Thompson,CA,2022-09-03 01:56:59,55.7435,-97.8558,50.16,71,75,5.75,broken clouds
14,Saskylakh,RU,2022-09-03 01:57:00,71.9167,114.0833,37.81,84,100,10.96,overcast clouds
15,Provideniya,RU,2022-09-03 01:57:00,64.3833,-173.3,50.02,61,12,3.89,few clouds
16,Ushuaia,AR,2022-09-03 01:57:00,-54.8,-68.3,38.86,93,75,4.61,broken clouds
17,Yovon,TJ,2022-09-03 01:57:00,38.3141,69.0378,64.08,16,0,4.03,clear sky
18,Kapaa,US,2022-09-03 01:57:01,22.0752,-159.319,83.48,67,7,7.0,clear sky
19,Mareeba,AU,2022-09-03 01:57:01,-17.0,145.4333,78.48,52,30,5.32,scattered clouds
20,Uruzgan,AF,2022-09-03 01:57:01,32.8333,66.0,71.6,16,0,3.69,clear sky
21,Punta Arenas,CL,2022-09-03 01:55:27,-53.15,-70.9167,41.11,87,75,18.41,broken clouds
22,Lebu,CL,2022-09-03 01:57:02,-37.6167,-73.65,48.67,88,1,16.87,clear sky
23,Bluff,NZ,2022-09-03 01:57:02,-46.6,168.3333,46.44,66,84,28.05,light rain
24,Port Elizabeth,ZA,2022-09-03 01:57:02,-33.918,25.5701,52.32,92,0,3.44,clear sky
25,Albany,US,2022-09-03 01:57:03,42.6001,-73.9662,64.45,72,73,2.3,broken clouds
26,Ilulissat,GL,2022-09-03 01:54:59,69.2167,-51.1,41.63,100,100,5.14,moderate rain
27,Tura,IN,2022-09-03 01:52:06,25.5198,90.2201,76.57,90,70,7.23,light rain
28,Pemberton,CA,2022-09-03 01:57:03,50.3164,-122.8027,83.05,30,0,5.1,clear sky
29,Mutum,BR,2022-09-03 01:57:03,-19.8,-41.4383,60.96,82,0,2.73,clear sky
30,Kuna,US,2022-09-03 01:57:04,43.4918,-116.4201,92.68,23,0,0.0,clear sky
31,Hilo,US,2022-09-03 01:57:04,19.7297,-155.09,87.28,84,3,3.0,clear sky
32,Westport,US,2022-09-03 01:56:04,41.1415,-73.3579,69.91,66,62,4.0,broken clouds
33,Chokurdakh,RU,2022-09-03 01:57:04,70.6333,147.9167,38.25,62,100,11.01,overcast clouds
34,Bethel,US,2022-09-03 01:57:05,41.3712,-73.414,67.57,72,60,3.04,broken clouds
35,Kyra,RU,2022-09-03 01:57:05,49.5776,111.9753,63.52,65,77,3.51,broken clouds
36,Arraial Do Cabo,BR,2022-09-03 01:56:53,-22.9661,-42.0278,68.83,81,0,25.77,clear sky
37,Hailar,CN,2022-09-03 01:57:05,49.2,119.7,74.8,31,100,6.64,overcast clouds
38,Sayyan,YE,2022-09-03 01:57:06,15.1718,44.3244,61.86,49,5,8.39,clear sky
39,Palmer,US,2022-09-03 01:57:06,42.1584,-72.3287,63.55,77,32,3.38,scattered clouds
40,Tuktoyaktuk,CA,2022-09-03 01:57:06,69.4541,-133.0374,62.6,72,40,5.75,scattered clouds
41,Mujiayingzi,CN,2022-09-03 01:58:07,42.1167,118.7833,76.33,25,92,2.86,overcast clouds
42,Salalah,OM,2022-09-03 01:58:07,17.0151,54.0924,76.41,84,88,6.33,overcast clouds
43,Manjacaze,MZ,2022-09-03 01:58:08,-24.7117,33.8828,54.12,81,0,6.11,clear sky
44,Barrow,US,2022-09-03 01:58:08,71.2906,-156.7887,37.71,86,94,7.07,overcast clouds
45,Yellowknife,CA,2022-09-03 01:58:08,62.456,-114.3525,63.12,59,75,4.61,broken clouds
46,Fairbanks,US,2022-09-03 01:56:18,64.8378,-147.7164,63.61,58,100,4.16,overcast clouds
47,Mataura,NZ,2022-09-03 01:58:08,-46.1927,168.8643,41.86,95,100,10.96,overcast clouds
48,Rawson,AR,2022-09-03 01:58:09,-43.3002,-65.1023,55.8,44,0,10.78,clear sky
49,Leningradskiy,RU,2022-09-03 01:58:09,69.3833,178.4167,37.63,83,100,6.73,light rain
50,Severodvinsk,RU,2022-09-03 01:58:09,64.5635,39.8302,44.71,90,100,6.87,overcast clouds
51,Laguna,US,2022-09-03 01:58:09,38.421,-121.4238,104.4,26,0,1.99,clear sky
52,Menongue,AO,2022-09-03 01:58:10,-14.6585,17.691,51.66,42,0,4.21,clear sky
53,Georgetown,MY,2022-09-03 01:57:03,5.4112,100.3354,82.33,88,20,3.44,few clouds
54,Jumla,NP,2022-09-03 01:58:10,29.2747,82.1838,64.51,84,34,2.26,scattered clouds
55,Bella Union,UY,2022-09-03 01:58:10,-30.2752,-57.6007,49.15,80,0,10.04,clear sky
56,Heihe,CN,2022-09-03 01:58:11,50.2441,127.4902,72.18,46,80,7.54,broken clouds
57,Busselton,AU,2022-09-03 01:58:11,-33.65,115.3333,55.11,81,100,17.49,overcast clouds
58,Inhambane,MZ,2022-09-03 01:58:12,-23.865,35.3833,62.65,71,0,4.61,clear sky
59,Khatanga,RU,2022-09-03 01:58:13,71.9667,102.5,38.77,67,100,4.52,overcast clouds
60,Roma,US,2022-09-03 01:58:13,43.2128,-75.4557,67.87,80,98,5.68,overcast clouds
61,Pobe,BJ,2022-09-03 01:58:13,6.9801,2.6649,71.29,96,99,2.53,light rain
62,Tiksi,RU,2022-09-03 01:58:14,71.6872,128.8694,38.82,80,100,14.16,overcast clouds
63,Birin,NP,2022-09-03 01:58:14,26.8865,88.0718,65.97,94,96,2.26,overcast clouds
64,Rikitea,PF,2022-09-03 01:58:14,-23.1203,-134.9692,70.34,68,77,20.65,broken clouds
65,Lompoc,US,2022-09-03 01:57:43,34.6391,-120.4579,91.54,74,1,1.99,clear sky
66,Bandarbeyla,SO,2022-09-03 01:58:15,9.4942,50.8122,75.92,74,72,20.24,broken clouds
67,Cockburn Town,TC,2022-09-03 01:58:15,21.4612,-71.1419,82.36,74,40,10.36,scattered clouds
68,Mar Del Plata,AR,2022-09-03 01:58:15,-38.0023,-57.5575,43.88,78,0,3.44,mist
69,Pachino,IT,2022-09-03 01:58:16,36.7186,15.0907,77.67,76,43,6.46,scattered clouds
70,Avarua,CK,2022-09-03 01:58:16,-21.2078,-159.775,78.85,78,75,9.22,broken clouds
71,Caravelas,BR,2022-09-03 01:58:16,-17.7125,-39.2481,67.93,78,14,5.97,few clouds
72,Husavik,IS,2022-09-03 01:58:16,66.0449,-17.3389,50.43,88,19,6.29,few clouds
73,Komsomolskiy,UZ,2022-09-03 01:58:17,40.4272,71.7189,70.52,32,0,9.22,clear sky
74,Lavrentiya,RU,2022-09-03 01:58:17,65.5833,-171.0,44.42,75,56,2.71,broken clouds
75,Port Alfred,ZA,2022-09-03 01:58:18,-33.5906,26.891,60.17,78,100,12.01,overcast clouds
76,Cariati,IT,2022-09-03 01:58:19,39.4922,16.9594,72.25,72,0,3.15,clear sky
77,Helong,CN,2022-09-03 01:58:19,42.5397,128.9972,75.43,46,0,3.15,clear sky
78,Butaritari,KI,2022-09-03 01:58:19,3.0707,172.7902,81.99,73,6,15.88,clear sky
79,Katsuura,JP,2022-09-03 01:58:20,35.1333,140.3,80.78,77,74,11.86,broken clouds
80,Alekseyevsk,RU,2022-09-03 01:58:20,57.8406,108.3492,45.21,69,100,8.32,overcast clouds
81,Bambous Virieux,MU,2022-09-03 01:58:20,-20.3428,57.7575,66.45,82,20,3.44,few clouds
82,Dikson,RU,2022-09-03 01:58:20,73.5069,80.5464,41.85,78,96,7.52,overcast clouds
83,Qaanaaq,GL,2022-09-03 01:58:21,77.484,-69.3632,38.14,98,100,5.32,moderate rain
84,Acapulco,MX,2022-09-03 01:58:21,16.8634,-99.8901,84.02,84,100,8.05,thunderstorm
85,Saint Anthony,US,2022-09-03 01:59:22,45.0205,-93.218,79.54,59,5,5.99,clear sky
86,Bredasdorp,ZA,2022-09-03 01:59:23,-34.5322,20.0403,48.47,81,5,6.38,clear sky
87,Jishou,CN,2022-09-03 01:59:23,28.3167,109.7167,76.8,56,97,1.88,overcast clouds
88,Taunsa,PK,2022-09-03 01:59:23,30.7048,70.6505,86.72,56,0,3.02,clear sky
89,Egvekinot,RU,2022-09-03 01:59:24,66.3167,-179.1667,40.44,71,100,5.86,overcast clouds
90,Tautira,PF,2022-09-03 01:59:24,-17.7333,-149.15,77.58,73,13,18.79,few clouds
91,Clyde River,CA,2022-09-03 01:59:24,70.4692,-68.5914,39.43,93,20,6.91,few clouds
92,Faya,SA,2022-09-03 01:59:25,18.3851,42.4509,64.92,41,21,4.76,few clouds
93,Codrington,AU,2022-09-03 01:59:25,-38.2667,141.9667,54.46,74,50,14.07,scattered clouds
94,Karratha,AU,2022-09-03 01:59:25,-20.7377,116.8463,71.22,77,100,11.68,overcast clouds
95,Sitka,US,2022-09-03 01:54:29,57.0531,-135.33,58.39,89,100,11.52,moderate rain
96,Sao Borja,BR,2022-09-03 01:59:25,-28.6606,-56.0044,54.95,79,0,11.05,clear sky
97,Namibe,AO,2022-09-03 01:59:26,-15.1961,12.1522,62.24,90,47,4.41,scattered clouds
98,Port Hardy,CA,2022-09-03 01:59:26,50.6996,-127.4199,66.38,77,75,6.91,broken clouds
99,Nalut,LY,2022-09-03 01:59:26,30.3333,10.85,83.55,25,0,13.73,clear sky
100,Jiuquan,CN,2022-09-03 01:59:27,39.7432,98.5174,72.57,21,52,15.41,broken clouds
101,Pafos,CY,2022-09-03 01:59:27,34.7667,32.4167,74.98,73,0,5.75,clear sky
102,Chuy,UY,2022-09-03 01:59:27,-33.6971,-53.4616,47.59,73,87,13.33,overcast clouds
103,Beisfjord,NO,2022-09-03 01:59:29,68.3751,17.5988,46.04,76,7,4.27,clear sky
104,Dickinson,US,2022-09-03 01:59:29,29.4608,-95.0513,85.98,83,100,1.99,overcast clouds
105,Airai,TL,2022-09-03 01:59:29,-8.9266,125.4092,76.48,41,0,4.61,clear sky
106,Korla,CN,2022-09-03 01:59:29,41.7597,86.1469,74.12,31,4,1.79,clear sky
107,Beringovskiy,RU,2022-09-03 01:59:30,63.05,179.3167,53.83,55,98,7.92,overcast clouds
108,Nome,US,2022-09-03 01:59:16,64.5011,-165.4064,57.16,86,95,4.76,overcast clouds
