City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-08-29 21:35:32,-34.5322,20.0403,52.92,54,6,9.22
1,Punta Arenas,CL,2022-08-29 21:33:21,-53.15,-70.9167,48.31,71,75,4.61
2,Ahipara,NZ,2022-08-29 21:30:54,-35.1667,173.1667,56.48,67,2,9.55
3,Santomera,ES,2022-08-29 21:35:32,38.0615,-1.0488,81.32,84,70,1.99
4,Iskateley,RU,2022-08-29 21:35:32,67.6803,53.1512,47.95,90,74,10.85
5,Yar-Sale,RU,2022-08-29 21:35:33,66.8333,70.8333,52.16,99,100,10.36
6,Rikitea,PF,2022-08-29 21:35:33,-23.1203,-134.9692,72.81,83,4,14.94
7,Cherskiy,RU,2022-08-29 21:35:33,68.75,161.3,47.05,62,15,12.82
8,San Cristobal,VE,2022-08-29 21:35:34,7.7669,-72.225,84.38,89,100,2.46
9,Cabo San Lucas,MX,2022-08-29 21:32:01,22.8909,-109.9124,91.18,58,40,11.5
10,Saldanha,ZA,2022-08-29 21:35:34,-33.0117,17.9442,50.05,59,0,22.08
11,Puerto Ayora,EC,2022-08-29 21:35:34,-0.7393,-90.3518,75.16,92,79,5.99
12,Sabha,LY,2022-08-29 21:35:35,27.0377,14.4283,86.14,28,0,10.74
13,Batemans Bay,AU,2022-08-29 21:35:35,-35.7167,150.1833,58.1,84,34,7.58
14,Tazovskiy,RU,2022-08-29 21:35:35,67.4667,78.7,40.69,68,99,7.96
15,Mataura,NZ,2022-08-29 21:35:35,-46.1927,168.8643,43.48,68,62,2.84
16,Sao Joao Da Barra,BR,2022-08-29 21:35:36,-21.6403,-41.0511,68.09,70,79,22.03
17,Kahului,US,2022-08-29 21:35:36,20.8947,-156.47,84.22,69,20,20.71
18,Svetlaya,RU,2022-08-29 21:35:36,46.5389,138.3297,62.13,80,99,1.07
19,Chokurdakh,RU,2022-08-29 21:35:37,70.6333,147.9167,39.67,76,72,13.13
20,Kirakira,SB,2022-08-29 21:35:37,-10.4544,161.9205,80.96,81,57,10.78
21,Kupang,ID,2022-08-29 21:34:29,-10.1667,123.5833,74.57,89,46,6.46
22,Mahebourg,MU,2022-08-29 21:35:37,-20.4081,57.7,68.29,88,40,0.0
23,Lebu,CL,2022-08-29 21:33:46,-37.6167,-73.65,51.21,81,100,4.03
24,Lompoc,US,2022-08-29 21:35:38,34.6391,-120.4579,86.14,63,0,12.66
25,San Juan,AR,2022-08-29 21:30:52,-31.5375,-68.5364,68.16,17,0,6.91
26,Comodoro Rivadavia,AR,2022-08-29 21:35:38,-45.8667,-67.5,67.86,10,0,9.22
27,Banda Aceh,ID,2022-08-29 21:35:38,5.5577,95.3222,76.1,92,100,12.24
28,Atuona,PF,2022-08-29 21:35:39,-9.8,-139.0333,77.13,69,26,22.86
29,Kihei,US,2022-08-29 21:35:39,20.785,-156.4656,84.22,72,20,20.71
30,Achalpur,IN,2022-08-29 21:35:39,21.2572,77.5086,74.86,89,96,4.76
31,Ushuaia,AR,2022-08-29 21:35:39,-54.8,-68.3,46.06,71,20,3.44
